jisCode,prefecture,municipality,population,agingRate,latitude,longitude,id
01100,北海道,札幌市,,,,,muni-01100
01101,北海道,札幌市中央区,,,,,muni-01101
01102,北海道,札幌市北区,,,,,muni-01102
01103,北海道,札幌市東区,,,,,muni-01103
01104,北海道,札幌市白石区,,,,,muni-01104
01105,北海道,札幌市豊平区,,,,,muni-01105
01106,北海道,札幌市南区,,,,,muni-01106
01107,北海道,札幌市西区,,,,,muni-01107
01108,北海道,札幌市厚別区,,,,,muni-01108
01109,北海道,札幌市手稲区,,,,,muni-01109
01110,北海道,札幌市清田区,,,,,muni-01110
01202,北海道,函館市,,,,,muni-01202
01203,北海道,小樽市,,,,,muni-01203
01204,北海道,旭川市,,,,,muni-01204
01205,北海道,室蘭市,,,,,muni-01205
01206,北海道,釧路市,,,,,muni-01206
01207,北海道,帯広市,,,,,muni-01207
01208,北海道,北見市,,,,,muni-01208
01209,北海道,夕張市,,,,,muni-01209
01210,北海道,岩見沢市,,,,,muni-01210
01211,北海道,網走市,,,,,muni-01211
01212,北海道,留萌市,,,,,muni-01212
01213,北海道,苫小牧市,,,,,muni-01213
01214,北海道,稚内市,,,,,muni-01214
01215,北海道,美唄市,,,,,muni-01215
01216,北海道,芦別市,,,,,muni-01216
01217,北海道,江別市,,,,,muni-01217
01218,北海道,赤平市,,,,,muni-01218
01219,北海道,紋別市,,,,,muni-01219
01220,北海道,士別市,,,,,muni-01220
01221,北海道,名寄市,,,,,muni-01221
01222,北海道,三笠市,,,,,muni-01222
01223,北海道,根室市,,,,,muni-01223
01224,北海道,千歳市,,,,,muni-01224
01225,北海道,滝川市,,,,,muni-01225
01226,北海道,砂川市,,,,,muni-01226
01227,北海道,歌志内市,,,,,muni-01227
01228,北海道,深川市,,,,,muni-01228
01229,北海道,富良野市,,,,,muni-01229
01230,北海道,登別市,,,,,muni-01230
01231,北海道,恵庭市,,,,,muni-01231
01233,北海道,伊達市,,,,,muni-01233
01234,北海道,北広島市,,,,,muni-01234
01235,北海道,石狩市,,,,,muni-01235
01236,北海道,北斗市,,,,,muni-01236
01303,北海道,当別町,,,,,muni-01303
01304,北海道,新篠津村,,,,,muni-01304
01331,北海道,松前町,,,,,muni-01331
01332,北海道,福島町,,,,,muni-01332
01333,北海道,知内町,,,,,muni-01333
01334,北海道,木古内町,,,,,muni-01334
01337,北海道,七飯町,,,,,muni-01337
01343,北海道,鹿部町,,,,,muni-01343
01345,北海道,森町,,,,,muni-01345
01346,北海道,八雲町,,,,,muni-01346
01347,北海道,長万部町,,,,,muni-01347
01361,北海道,江差町,,,,,muni-01361
01362,北海道,上ノ国町,,,,,muni-01362
01363,北海道,厚沢部町,,,,,muni-01363
01364,北海道,乙部町,,,,,muni-01364
01367,北海道,奥尻町,,,,,muni-01367
01370,北海道,今金町,,,,,muni-01370
01371,北海道,せたな町,,,,,muni-01371
01391,北海道,島牧村,,,,,muni-01391
01392,北海道,寿都町,,,,,muni-01392
01393,北海道,黒松内町,,,,,muni-01393
01394,北海道,蘭越町,,,,,muni-01394
01395,北海道,ニセコ町,,,,,muni-01395
01396,北海道,真狩村,,,,,muni-01396
01397,北海道,留寿都村,,,,,muni-01397
01398,北海道,喜茂別町,,,,,muni-01398
01399,北海道,京極町,,,,,muni-01399
01400,北海道,倶知安町,,,,,muni-01400
01401,北海道,共和町,,,,,muni-01401
01402,北海道,岩内町,,,,,muni-01402
01403,北海道,泊村,,,,,muni-01403
01404,北海道,神恵内村,,,,,muni-01404
01405,北海道,積丹町,,,,,muni-01405
01406,北海道,古平町,,,,,muni-01406
01407,北海道,仁木町,,,,,muni-01407
01408,北海道,余市町,,,,,muni-01408
01409,北海道,赤井川村,,,,,muni-01409
01423,北海道,南幌町,,,,,muni-01423
01424,北海道,奈井江町,,,,,muni-01424
01425,北海道,上砂川町,,,,,muni-01425
01427,北海道,由仁町,,,,,muni-01427
01428,北海道,長沼町,,,,,muni-01428
01429,北海道,栗山町,,,,,muni-01429
01430,北海道,月形町,,,,,muni-01430
01431,北海道,浦臼町,,,,,muni-01431
01432,北海道,新十津川町,,,,,muni-01432
01433,北海道,妹背牛町,,,,,muni-01433
01434,北海道,秩父別町,,,,,muni-01434
01436,北海道,雨竜町,,,,,muni-01436
01437,北海道,北竜町,,,,,muni-01437
01438,北海道,沼田町,,,,,muni-01438
01452,北海道,鷹栖町,,,,,muni-01452
01453,北海道,東神楽町,,,,,muni-01453
01454,北海道,当麻町,,,,,muni-01454
01455,北海道,比布町,,,,,muni-01455
01456,北海道,愛別町,,,,,muni-01456
01457,北海道,上川町,,,,,muni-01457
01458,北海道,東川町,,,,,muni-01458
01459,北海道,美瑛町,,,,,muni-01459
01460,北海道,上富良野町,,,,,muni-01460
01461,北海道,中富良野町,,,,,muni-01461
01462,北海道,南富良野町,,,,,muni-01462
01463,北海道,占冠村,,,,,muni-01463
01464,北海道,和寒町,,,,,muni-01464
01465,北海道,剣淵町,,,,,muni-01465
01468,北海道,下川町,,,,,muni-01468
01469,北海道,美深町,,,,,muni-01469
01470,北海道,音威子府村,,,,,muni-01470
01471,北海道,中川町,,,,,muni-01471
01472,北海道,幌加内町,,,,,muni-01472
01481,北海道,増毛町,,,,,muni-01481
01482,北海道,小平町,,,,,muni-01482
01483,北海道,苫前町,,,,,muni-01483
01484,北海道,羽幌町,,,,,muni-01484
01485,北海道,初山別村,,,,,muni-01485
01486,北海道,遠別町,,,,,muni-01486
01487,北海道,天塩町,,,,,muni-01487
01511,北海道,猿払村,,,,,muni-01511
01512,北海道,浜頓別町,,,,,muni-01512
01513,北海道,中頓別町,,,,,muni-01513
01514,北海道,枝幸町,,,,,muni-01514
01516,北海道,豊富町,,,,,muni-01516
01517,北海道,礼文町,,,,,muni-01517
01518,北海道,利尻町,,,,,muni-01518
01519,北海道,利尻富士町,,,,,muni-01519
01520,北海道,幌延町,,,,,muni-01520
01543,北海道,美幌町,,,,,muni-01543
01544,北海道,津別町,,,,,muni-01544
01545,北海道,斜里町,,,,,muni-01545
01546,北海道,清里町,,,,,muni-01546
01547,北海道,小清水町,,,,,muni-01547
01549,北海道,訓子府町,,,,,muni-01549
01550,北海道,置戸町,,,,,muni-01550
01552,北海道,佐呂間町,,,,,muni-01552
01555,北海道,遠軽町,,,,,muni-01555
01559,北海道,湧別町,,,,,muni-01559
01560,北海道,滝上町,,,,,muni-01560
01561,北海道,興部町,,,,,muni-01561
01562,北海道,西興部村,,,,,muni-01562
01563,北海道,雄武町,,,,,muni-01563
01564,北海道,大空町,,,,,muni-01564
01571,北海道,豊浦町,,,,,muni-01571
01575,北海道,壮瞥町,,,,,muni-01575
01578,北海道,白老町,,,,,muni-01578
01581,北海道,厚真町,,,,,muni-01581
01584,北海道,洞爺湖町,,,,,muni-01584
01585,北海道,安平町,,,,,muni-01585
01586,北海道,むかわ町,,,,,muni-01586
01601,北海道,日高町,,,,,muni-01601
01602,北海道,平取町,,,,,muni-01602
01604,北海道,新冠町,,,,,muni-01604
01607,北海道,浦河町,,,,,muni-01607
01608,北海道,様似町,,,,,muni-01608
01609,北海道,えりも町,,,,,muni-01609
01610,北海道,新ひだか町,,,,,muni-01610
01631,北海道,音更町,,,,,muni-01631
01632,北海道,士幌町,,,,,muni-01632
01633,北海道,上士幌町,,,,,muni-01633
01634,北海道,鹿追町,,,,,muni-01634
01635,北海道,新得町,,,,,muni-01635
01636,北海道,清水町,,,,,muni-01636
01637,北海道,芽室町,,,,,muni-01637
01638,北海道,中札内村,,,,,muni-01638
01639,北海道,更別村,,,,,muni-01639
01641,北海道,大樹町,,,,,muni-01641
01642,北海道,広尾町,,,,,muni-01642
01643,北海道,幕別町,,,,,muni-01643
01644,北海道,池田町,,,,,muni-01644
01645,北海道,豊頃町,,,,,muni-01645
01646,北海道,本別町,,,,,muni-01646
01647,北海道,足寄町,,,,,muni-01647
01648,北海道,陸別町,,,,,muni-01648
01649,北海道,浦幌町,,,,,muni-01649
01661,北海道,釧路町,,,,,muni-01661
01662,北海道,厚岸町,,,,,muni-01662
01663,北海道,浜中町,,,,,muni-01663
01664,北海道,標茶町,,,,,muni-01664
01665,北海道,弟子屈町,,,,,muni-01665
01667,北海道,鶴居村,,,,,muni-01667
01668,北海道,白糠町,,,,,muni-01668
01691,北海道,別海町,,,,,muni-01691
01692,北海道,中標津町,,,,,muni-01692
01693,北海道,標津町,,,,,muni-01693
01694,北海道,羅臼町,,,,,muni-01694
01695,北海道,色丹村,,,,,muni-01695
01696,北海道,泊村,,,,,muni-01696
01697,北海道,留夜別村,,,,,muni-01697
01698,北海道,留別村,,,,,muni-01698
01699,北海道,紗那村,,,,,muni-01699
01700,北海道,蘂取村,,,,,muni-01700
02201,青森県,青森市,,,,,muni-02201
02202,青森県,弘前市,,,,,muni-02202
02203,青森県,八戸市,,,,,muni-02203
02204,青森県,黒石市,,,,,muni-02204
02205,青森県,五所川原市,,,,,muni-02205
02206,青森県,十和田市,,,,,muni-02206
02207,青森県,三沢市,,,,,muni-02207
02208,青森県,むつ市,,,,,muni-02208
02209,青森県,つがる市,,,,,muni-02209
02210,青森県,平川市,,,,,muni-02210
02301,青森県,平内町,,,,,muni-02301
02303,青森県,今別町,,,,,muni-02303
02304,青森県,蓬田村,,,,,muni-02304
02307,青森県,外ヶ浜町,,,,,muni-02307
02321,青森県,鰺ヶ沢町,,,,,muni-02321
02323,青森県,深浦町,,,,,muni-02323
02343,青森県,西目屋村,,,,,muni-02343
02361,青森県,藤崎町,,,,,muni-02361
02362,青森県,大鰐町,,,,,muni-02362
02367,青森県,田舎館村,,,,,muni-02367
02381,青森県,板柳町,,,,,muni-02381
02384,青森県,鶴田町,,,,,muni-02384
02387,青森県,中泊町,,,,,muni-02387
02401,青森県,野辺地町,,,,,muni-02401
02402,青森県,七戸町,,,,,muni-02402
02405,青森県,六戸町,,,,,muni-02405
02406,青森県,横浜町,,,,,muni-02406
02408,青森県,東北町,,,,,muni-02408
02411,青森県,六ヶ所村,,,,,muni-02411
02412,青森県,おいらせ町,,,,,muni-02412
02423,青森県,大間町,,,,,muni-02423
02424,青森県,東通村,,,,,muni-02424
02425,青森県,風間浦村,,,,,muni-02425
02426,青森県,佐井村,,,,,muni-02426
02441,青森県,三戸町,,,,,muni-02441
02442,青森県,五戸町,,,,,muni-02442
02443,青森県,田子町,,,,,muni-02443
02445,青森県,南部町,,,,,muni-02445
02446,青森県,階上町,,,,,muni-02446
02450,青森県,新郷村,,,,,muni-02450
03201,岩手県,盛岡市,,,,,muni-03201
03202,岩手県,宮古市,,,,,muni-03202
03203,岩手県,大船渡市,,,,,muni-03203
03205,岩手県,花巻市,,,,,muni-03205
03206,岩手県,北上市,,,,,muni-03206
03207,岩手県,久慈市,,,,,muni-03207
03208,岩手県,遠野市,,,,,muni-03208
03209,岩手県,一関市,,,,,muni-03209
03210,岩手県,陸前高田市,,,,,muni-03210
03211,岩手県,釜石市,,,,,muni-03211
03213,岩手県,二戸市,,,,,muni-03213
03214,岩手県,八幡平市,,,,,muni-03214
03215,岩手県,奥州市,,,,,muni-03215
03216,岩手県,滝沢市,,,,,muni-03216
03301,岩手県,雫石町,,,,,muni-03301
03302,岩手県,葛巻町,,,,,muni-03302
03303,岩手県,岩手町,,,,,muni-03303
03321,岩手県,紫波町,,,,,muni-03321
03322,岩手県,矢巾町,,,,,muni-03322
03366,岩手県,西和賀町,,,,,muni-03366
03381,岩手県,金ケ崎町,,,,,muni-03381
03402,岩手県,平泉町,,,,,muni-03402
03441,岩手県,住田町,,,,,muni-03441
03461,岩手県,大槌町,,,,,muni-03461
03482,岩手県,山田町,,,,,muni-03482
03483,岩手県,岩泉町,,,,,muni-03483
03484,岩手県,田野畑村,,,,,muni-03484
03485,岩手県,普代村,,,,,muni-03485
03501,岩手県,軽米町,,,,,muni-03501
03503,岩手県,野田村,,,,,muni-03503
03506,岩手県,九戸村,,,,,muni-03506
03507,岩手県,洋野町,,,,,muni-03507
03524,岩手県,一戸町,,,,,muni-03524
04100,宮城県,仙台市,,,,,muni-04100
04101,宮城県,仙台市青葉区,,,,,muni-04101
04102,宮城県,仙台市宮城野区,,,,,muni-04102
04103,宮城県,仙台市若林区,,,,,muni-04103
04104,宮城県,仙台市太白区,,,,,muni-04104
04105,宮城県,仙台市泉区,,,,,muni-04105
04202,宮城県,石巻市,,,,,muni-04202
04203,宮城県,塩竈市,,,,,muni-04203
04205,宮城県,気仙沼市,,,,,muni-04205
04206,宮城県,白石市,,,,,muni-04206
04207,宮城県,名取市,,,,,muni-04207
04208,宮城県,角田市,,,,,muni-04208
04209,宮城県,多賀城市,,,,,muni-04209
04211,宮城県,岩沼市,,,,,muni-04211
04212,宮城県,登米市,,,,,muni-04212
04213,宮城県,栗原市,,,,,muni-04213
04214,宮城県,東松島市,,,,,muni-04214
04215,宮城県,大崎市,,,,,muni-04215
04216,宮城県,富谷市,,,,,muni-04216
04301,宮城県,蔵王町,,,,,muni-04301
04302,宮城県,七ヶ宿町,,,,,muni-04302
04321,宮城県,大河原町,,,,,muni-04321
04322,宮城県,村田町,,,,,muni-04322
04323,宮城県,柴田町,,,,,muni-04323
04324,宮城県,川崎町,,,,,muni-04324
04341,宮城県,丸森町,,,,,muni-04341
04361,宮城県,亘理町,,,,,muni-04361
04362,宮城県,山元町,,,,,muni-04362
04401,宮城県,松島町,,,,,muni-04401
04404,宮城県,七ヶ浜町,,,,,muni-04404
04406,宮城県,利府町,,,,,muni-04406
04421,宮城県,大和町,,,,,muni-04421
04422,宮城県,大郷町,,,,,muni-04422
04424,宮城県,大衡村,,,,,muni-04424
04444,宮城県,色麻町,,,,,muni-04444
04445,宮城県,加美町,,,,,muni-04445
04501,宮城県,涌谷町,,,,,muni-04501
04505,宮城県,美里町,,,,,muni-04505
04581,宮城県,女川町,,,,,muni-04581
04606,宮城県,南三陸町,,,,,muni-04606
05201,秋田県,秋田市,,,,,muni-05201
05202,秋田県,能代市,,,,,muni-05202
05203,秋田県,横手市,,,,,muni-05203
05204,秋田県,大館市,,,,,muni-05204
05206,秋田県,男鹿市,,,,,muni-05206
05207,秋田県,湯沢市,,,,,muni-05207
05209,秋田県,鹿角市,,,,,muni-05209
05210,秋田県,由利本荘市,,,,,muni-05210
05211,秋田県,潟上市,,,,,muni-05211
05212,秋田県,大仙市,,,,,muni-05212
05213,秋田県,北秋田市,,,,,muni-05213
05214,秋田県,にかほ市,,,,,muni-05214
05215,秋田県,仙北市,,,,,muni-05215
05303,秋田県,小坂町,,,,,muni-05303
05327,秋田県,上小阿仁村,,,,,muni-05327
05346,秋田県,藤里町,,,,,muni-05346
05348,秋田県,三種町,,,,,muni-05348
05349,秋田県,八峰町,,,,,muni-05349
05361,秋田県,五城目町,,,,,muni-05361
05363,秋田県,八郎潟町,,,,,muni-05363
05366,秋田県,井川町,,,,,muni-05366
05368,秋田県,大潟村,,,,,muni-05368
05434,秋田県,美郷町,,,,,muni-05434
05463,秋田県,羽後町,,,,,muni-05463
05464,秋田県,東成瀬村,,,,,muni-05464
06201,山形県,山形市,,,,,muni-06201
06202,山形県,米沢市,,,,,muni-06202
06203,山形県,鶴岡市,,,,,muni-06203
06204,山形県,酒田市,,,,,muni-06204
06205,山形県,新庄市,,,,,muni-06205
06206,山形県,寒河江市,,,,,muni-06206
06207,山形県,上山市,,,,,muni-06207
06208,山形県,村山市,,,,,muni-06208
06209,山形県,長井市,,,,,muni-06209
06210,山形県,天童市,,,,,muni-06210
06211,山形県,東根市,,,,,muni-06211
06212,山形県,尾花沢市,,,,,muni-06212
06213,山形県,南陽市,,,,,muni-06213
06301,山形県,山辺町,,,,,muni-06301
06302,山形県,中山町,,,,,muni-06302
06321,山形県,河北町,,,,,muni-06321
06322,山形県,西川町,,,,,muni-06322
06323,山形県,朝日町,,,,,muni-06323
06324,山形県,大江町,,,,,muni-06324
06341,山形県,大石田町,,,,,muni-06341
06361,山形県,金山町,,,,,muni-06361
06362,山形県,最上町,,,,,muni-06362
06363,山形県,舟形町,,,,,muni-06363
06364,山形県,真室川町,,,,,muni-06364
06365,山形県,大蔵村,,,,,muni-06365
06366,山形県,鮭川村,,,,,muni-06366
06367,山形県,戸沢村,,,,,muni-06367
06381,山形県,高畠町,,,,,muni-06381
06382,山形県,川西町,,,,,muni-06382
06401,山形県,小国町,,,,,muni-06401
06402,山形県,白鷹町,,,,,muni-06402
06403,山形県,飯豊町,,,,,muni-06403
06426,山形県,三川町,,,,,muni-06426
06428,山形県,庄内町,,,,,muni-06428
06461,山形県,遊佐町,,,,,muni-06461
07201,福島県,福島市,,,,,muni-07201
07202,福島県,会津若松市,,,,,muni-07202
07203,福島県,郡山市,,,,,muni-07203
07204,福島県,いわき市,,,,,muni-07204
07205,福島県,白河市,,,,,muni-07205
07207,福島県,須賀川市,,,,,muni-07207
07208,福島県,喜多方市,,,,,muni-07208
07209,福島県,相馬市,,,,,muni-07209
07210,福島県,二本松市,,,,,muni-07210
07211,福島県,田村市,,,,,muni-07211
07212,福島県,南相馬市,,,,,muni-07212
07213,福島県,伊達市,,,,,muni-07213
07214,福島県,本宮市,,,,,muni-07214
07301,福島県,桑折町,,,,,muni-07301
07303,福島県,国見町,,,,,muni-07303
07308,福島県,川俣町,,,,,muni-07308
07322,福島県,大玉村,,,,,muni-07322
07342,福島県,鏡石町,,,,,muni-07342
07344,福島県,天栄村,,,,,muni-07344
07362,福島県,下郷町,,,,,muni-07362
07364,福島県,檜枝岐村,,,,,muni-07364
07367,福島県,只見町,,,,,muni-07367
07368,福島県,南会津町,,,,,muni-07368
07402,福島県,北塩原村,,,,,muni-07402
07405,福島県,西会津町,,,,,muni-07405
07407,福島県,磐梯町,,,,,muni-07407
07408,福島県,猪苗代町,,,,,muni-07408
07421,福島県,会津坂下町,,,,,muni-07421
07422,福島県,湯川村,,,,,muni-07422
07423,福島県,柳津町,,,,,muni-07423
07444,福島県,三島町,,,,,muni-07444
07445,福島県,金山町,,,,,muni-07445
07446,福島県,昭和村,,,,,muni-07446
07447,福島県,会津美里町,,,,,muni-07447
07461,福島県,西郷村,,,,,muni-07461
07464,福島県,泉崎村,,,,,muni-07464
07465,福島県,中島村,,,,,muni-07465
07466,福島県,矢吹町,,,,,muni-07466
07481,福島県,棚倉町,,,,,muni-07481
07482,福島県,矢祭町,,,,,muni-07482
07483,福島県,塙町,,,,,muni-07483
07484,福島県,鮫川村,,,,,muni-07484
07501,福島県,石川町,,,,,muni-07501
07502,福島県,玉川村,,,,,muni-07502
07503,福島県,平田村,,,,,muni-07503
07504,福島県,浅川町,,,,,muni-07504
07505,福島県,古殿町,,,,,muni-07505
07521,福島県,三春町,,,,,muni-07521
07522,福島県,小野町,,,,,muni-07522
07541,福島県,広野町,,,,,muni-07541
07542,福島県,楢葉町,,,,,muni-07542
07543,福島県,富岡町,,,,,muni-07543
07544,福島県,川内村,,,,,muni-07544
07545,福島県,大熊町,,,,,muni-07545
07546,福島県,双葉町,,,,,muni-07546
07547,福島県,浪江町,,,,,muni-07547
07548,福島県,葛尾村,,,,,muni-07548
07561,福島県,新地町,,,,,muni-07561
07564,福島県,飯舘村,,,,,muni-07564
08201,茨城県,水戸市,,,,,muni-08201
08202,茨城県,日立市,,,,,muni-08202
08203,茨城県,土浦市,,,,,muni-08203
08204,茨城県,古河市,,,,,muni-08204
08205,茨城県,石岡市,,,,,muni-08205
08207,茨城県,結城市,,,,,muni-08207
08208,茨城県,龍ケ崎市,,,,,muni-08208
08210,茨城県,下妻市,,,,,muni-08210
08211,茨城県,常総市,,,,,muni-08211
08212,茨城県,常陸太田市,,,,,muni-08212
08214,茨城県,高萩市,,,,,muni-08214
08215,茨城県,北茨城市,,,,,muni-08215
08216,茨城県,笠間市,,,,,muni-08216
08217,茨城県,取手市,,,,,muni-08217
08219,茨城県,牛久市,,,,,muni-08219
08220,茨城県,つくば市,,,,,muni-08220
08221,茨城県,ひたちなか市,,,,,muni-08221
08222,茨城県,鹿嶋市,,,,,muni-08222
08223,茨城県,潮来市,,,,,muni-08223
08224,茨城県,守谷市,,,,,muni-08224
08225,茨城県,常陸大宮市,,,,,muni-08225
08226,茨城県,那珂市,,,,,muni-08226
08227,茨城県,筑西市,,,,,muni-08227
08228,茨城県,坂東市,,,,,muni-08228
08229,茨城県,稲敷市,,,,,muni-08229
08230,茨城県,かすみがうら市,,,,,muni-08230
08231,茨城県,桜川市,,,,,muni-08231
08232,茨城県,神栖市,,,,,muni-08232
08233,茨城県,行方市,,,,,muni-08233
08234,茨城県,鉾田市,,,,,muni-08234
08235,茨城県,つくばみらい市,,,,,muni-08235
08236,茨城県,小美玉市,,,,,muni-08236
08302,茨城県,茨城町,,,,,muni-08302
08309,茨城県,大洗町,,,,,muni-08309
08310,茨城県,城里町,,,,,muni-08310
08341,茨城県,東海村,,,,,muni-08341
08364,茨城県,大子町,,,,,muni-08364
08442,茨城県,美浦村,,,,,muni-08442
08443,茨城県,阿見町,,,,,muni-08443
08447,茨城県,河内町,,,,,muni-08447
08521,茨城県,八千代町,,,,,muni-08521
08542,茨城県,五霞町,,,,,muni-08542
08546,茨城県,境町,,,,,muni-08546
08564,茨城県,利根町,,,,,muni-08564
09201,栃木県,宇都宮市,,,,,muni-09201
09202,栃木県,足利市,,,,,muni-09202
09203,栃木県,栃木市,,,,,muni-09203
09204,栃木県,佐野市,,,,,muni-09204
09205,栃木県,鹿沼市,,,,,muni-09205
09206,栃木県,日光市,,,,,muni-09206
09208,栃木県,小山市,,,,,muni-09208
09209,栃木県,真岡市,,,,,muni-09209
09210,栃木県,大田原市,,,,,muni-09210
09211,栃木県,矢板市,,,,,muni-09211
